,Offset,TV,radio,newspaper,sales
1,1,230.1,37.8,69.2,22.1
2,1,44.5,39.3,45.1,10.4
3,1,17.2,45.9,69.3,9.3
4,1,151.5,41.3,58.5,18.5
5,1,180.8,10.8,58.4,12.9
6,1,8.7,48.9,75,7.2
7,1,57.5,32.8,23.5,11.8
8,1,120.2,19.6,11.6,13.2
9,1,8.6,2.1,1,4.8
10,1,199.8,2.6,21.2,10.6
11,1,66.1,5.8,24.2,8.6
12,1,214.7,24,4,17.4
13,1,23.8,35.1,65.9,9.2
14,1,97.5,7.6,7.2,9.7
15,1,204.1,32.9,46,19
16,1,195.4,47.7,52.9,22.4
17,1,67.8,36.6,114,12.5
18,1,281.4,39.6,55.8,24.4
19,1,69.2,20.5,18.3,11.3
20,1,147.3,23.9,19.1,14.6
21,1,218.4,27.7,53.4,18
22,1,237.4,5.1,23.5,12.5
23,1,13.2,15.9,49.6,5.6
24,1,228.3,16.9,26.2,15.5
25,1,62.3,12.6,18.3,9.7
26,1,262.9,3.5,19.5,12
27,1,142.9,29.3,12.6,15
28,1,240.1,16.7,22.9,15.9
29,1,248.8,27.1,22.9,18.9
30,1,70.6,16,40.8,10.5
31,1,292.9,28.3,43.2,21.4
32,1,112.9,17.4,38.6,11.9
33,1,97.2,1.5,30,9.6
34,1,265.6,20,0.3,17.4
35,1,95.7,1.4,7.4,9.5
36,1,290.7,4.1,8.5,12.8
37,1,266.9,43.8,5,25.4
38,1,74.7,49.4,45.7,14.7
39,1,43.1,26.7,35.1,10.1
40,1,228,37.7,32,21.5
41,1,202.5,22.3,31.6,16.6
42,1,177,33.4,38.7,17.1
43,1,293.6,27.7,1.8,20.7
44,1,206.9,8.4,26.4,12.9
45,1,25.1,25.7,43.3,8.5
46,1,175.1,22.5,31.5,14.9
47,1,89.7,9.9,35.7,10.6
48,1,239.9,41.5,18.5,23.2
49,1,227.2,15.8,49.9,14.8
50,1,66.9,11.7,36.8,9.7
51,1,199.8,3.1,34.6,11.4
52,1,100.4,9.6,3.6,10.7
53,1,216.4,41.7,39.6,22.6
54,1,182.6,46.2,58.7,21.2
55,1,262.7,28.8,15.9,20.2
56,1,198.9,49.4,60,23.7
57,1,7.3,28.1,41.4,5.5
58,1,136.2,19.2,16.6,13.2
59,1,210.8,49.6,37.7,23.8
